compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
Gefitinib 0.5uM,86.35,71.98,72.8,94.14,100,84.59,98.75,96.86,100,99.64,99.58,95.27,99.06,100,95.27,100,89.74,88.8,87.71,100,95.81,77.22,92.5,100,60.56,96.04,95.91,92.36,79,100,100,88.64,100,94.45,95.43,92.43,100,93.3,93.77,100,100,99.14,95.91,100,94.99,94.31,100,95.36,100,98.69,100,100,99.29,87.29,95.27,83.95,98.63,90.37,100,99.48,98.09,100,100,88.61,100,94.8,100,100,95.73,95.4,86.38,100,93.17,100,100,90.09,95.96,100,91.87,98.2,84.98,100,2.97,87.38,85.71,94.45,90.23,95.8,28.94,74.31,84.51,94.76,87.65,57.52,70.85,34.2,24.15,100,100,100,94.11,100,96.4,98.73,79.32,92.38,70.15,98.32,56.47,92.15,100,97.87,92.17,100,93.33,97.93,91.01,94.88,99.6,96.18,99.73,100,84.05,73.33,97.78,97.55,99.71,100,90.36,92.33,94.87,86.54,89.85,100,57.64,78.79,100,99.94,100,99.85,96.64,93.07,95.46,100,95.24,79.95,68.44,89.98,100,38.59,100,57.09,67.76,97.5,99.61,92.66,100,100,94.55,94.21,100,100,100,100,77.75,100,90.13,89.7,99.24,100,100,100,41.86,54.09,87.78,98.96,100,100,100,100,93.57,100,100,98.12,91.41,90.42,100,98.44,94.44,100,89.9,96.9,99.33,91.1,100,74.59,95.15,94.68,97.45,93.87,100,100,100,100,90.22,97.39,100,97.94,100,97,93.89,88.16,68.81,93.88,86.45,96.22,74.62,96.28,100,93.63,95.04,100,100,97.3,100,84.15,96.87,85.4,76.27,85.88,92.47,73.78,87.53,100,94.76,100,93.08,96.99,100,100,100,98.87,90.93,76.94,33.98,100,100,90.75,97.71,92.33,97.28,100,82.35,95.25,100,100,98.35,49.34,83.71,96.03,96.36,98.31,99.49,96.84,89.98,97.38,90.43,100,93.52,100,91.33,100,100,99.52,83.12,100,93.77,96.18,80.44,100,98.16,100,91.51,83.21,90.35,100,94.86,93,100,100,99.26,93.76,97.23,100,74.36,96.17,96.47,95.66,82.30219
Go 6983 0.5uM,100,77.68,77.9,98.98,100,63.71,96.02,87.81,97.97,100,100,95.53,32.16,95.11,86.58,88.55,90.35,98.7,78.8,96.3,93.97,91.99,81.87,61.31,90.2,88.8,83.96,85.58,79.8,90.24,100,73.27,95.02,100,89.93,74.84,91.15,90.32,94.85,81.96,95.65,94.42,100,97.9,78.82,78.57,95.46,100,81.4,63.97,84.96,88.02,54.58,69.74,88.77,38.76,62.29,92.02,86.38,84.09,82.24,77.8,95.94,99.28,48.24,77.95,43.62,32.77,93.85,83.99,99.26,100,81.12,84.76,100,97.73,83.95,84.7,79.96,92.36,80.97,97.27,92.56,76.17,91.34,94.08,94.48,87.17,100,88.83,100,91.66,78.68,96.97,94.19,100,93.4,92.98,100,88.23,70.93,100,58.95,90.71,87.46,79.19,100,22,23.17,23.56,92.85,91.31,100,56.26,99,96.33,92.78,100,96.16,100,14.04,31.98,93.49,100,37.75,77.75,96.27,74.11,100,100,96.5,99.63,100,94.06,89.01,91.17,100,70.38,100,97.47,100,79.96,86.14,88.78,40.72,27.67,93.58,81.77,100,31.66,86.98,100,94.17,99.68,92.29,98.1,93.23,91.78,92.15,95.95,85.02,100,80.58,82.84,70.71,78.58,91.6,66.92,95.99,57.56,83.44,75.56,92.84,81.14,89.22,89.45,61.28,78.57,89.51,65.19,72.22,36.59,40.4,53.49,100,94.69,91.58,99.72,98.27,90.68,100,99.07,90.27,87.87,97.7,100,96.68,100,84.8,19.72,65.39,87.41,100,100,94.75,67.63,70.37,83.82,96.84,85.18,75.78,76.7,66.36,98.3,11.63,90.51,5.01,77.86,100,3.14,19.29,14.25,1.67,14.64,6.85,54.02,67.62,68.85,91.93,4.5,78.23,92.29,99.51,79.43,60.67,34.72,94.98,100,100,93.01,100,100,99.27,79.87,70.22,82.84,93.5,89.19,91.33,52.39,15.99,6.55,5.46,4.52,99.52,92.59,100,100,69.42,80.96,95.86,100,88.05,93.06,80.28,55.65,56.21,100,100,68.48,100,99.46,80.78,78.21,90.71,97.88,100,100,100,83.14,88.09,54.89,85.45,82.75,81.93,100,90.71,99.02,96.13,100,76.71,85.1,96.49,92.01,90.39,95.89,90.28,75.47,68.96216
GSK-3 Inhibitor IX 0.5uM,19.13,8.39,36.89,97.71,100,89.4,88.52,100,100,100,99.75,99.84,15.69,91.61,17.14,39.1,51.84,57.7,11.28,29.2,98.19,89.32,14.63,19.39,13.06,42.26,79.35,70.01,7.64,96.02,100,100,96.04,13.92,65.77,23.02,28.34,96.27,50.51,70.06,59.7,50.48,7.66,15.37,25.21,93.44,75.94,20.44,12.41,35.89,25.4,79.08,37.49,68.2,57.11,48.34,95.11,85.37,83.66,87.57,100,78.28,82.24,63.15,93.07,91.86,71.17,96.96,100,65.77,99.65,89.99,91.02,99.1,69.67,100,49.2,100,80.32,90.96,100,99.4,88.98,98.47,70.94,81.86,90.23,70.38,100,81.37,97.61,72.27,74.73,100,78.48,100,96.8,83.32,100,88.98,69.78,96.04,45.1,59.24,54.64,79.61,2.99,75.06,4.02,50.78,74.45,23.19,5.05,61.47,97.35,100,90.09,100,79.92,96.68,3.6,3.77,95.94,13.3,28.64,100,96.21,64.84,100,100,100,85.41,66.26,92.49,100,90.11,80.95,46.65,76.24,93.76,53.33,98.67,80.33,97.89,64.16,36.54,38.99,51.69,42.13,52.77,95.27,5.98,14.68,86.86,96.13,82.66,64.18,61.84,67.03,100,100,92.42,90.32,100,43.47,47.8,98.25,44.97,17.59,9.21,92.13,16.01,100,75.28,93.96,97.48,82.58,56.11,96.36,22.54,20.54,90.86,100,84.53,100,93.8,100,95.48,84.4,96.66,99.85,100,96.29,100,100,100,99.56,87.46,93.82,79.64,100,89.76,90.93,99.65,95.28,100,86.29,97.9,100,68.38,35.2,86.36,41.75,92.45,96.14,95.52,73.15,100,100,100,98.54,100,100,92.4,78.61,90.88,97.26,93.59,87.75,100,100,94.08,89.04,93.58,69.14,82.16,85.62,100,98.91,95.32,92.14,56.66,100,0.06,75.17,100,98.98,92.12,98.72,82,47.15,65.72,33.67,43.09,60.93,73.04,97.19,31.06,56.14,73.37,99.64,94.9,63.92,64.02,83.03,96.32,69.35,100,100,45.68,79.27,98.48,92.11,56.87,62.11,100,100,96.71,100,34.49,10.35,4.98,100,27.74,89.34,25.6,81.6,95.31,94.04,100,98.03,95.98,100,93.78,15.81,68.99,100,84.92,100
GSK-3b Inhibitor I (TDZD-8) 0.5uM,100,96.66,100,100,99.21,96.57,94.11,100,100,100,97.22,94.61,100,91.47,100,100,98.84,96.9,100,91.64,98.14,96.67,100,99.4,100,100,92.77,64.2,95.03,100,98.65,97.08,100,100,100,98.94,90.08,93.21,100,95.17,100,95.67,99.97,95.09,78.09,98.22,100,100,90.13,100,100,96.85,97.17,94.24,100,100,99.45,100,100,95.2,94.95,100,95.37,98.46,100,98.49,83.04,99.06,97.14,100,95.27,97.89,94.02,98.52,100,100,100,92.58,100,100,100,99.3,100,100,96.47,100,100,100,100,100,94.43,100,88.55,91.3,100,100,100,90.44,93.06,99.5,100,100,95.62,98.47,100,97.2,100,96.07,99.07,86.79,98.63,100,100,100,96.69,99.57,100,93.62,100,100,94.54,100,98.97,100,97.01,92.31,99.64,94.87,98.19,97.07,96.22,100,96.43,93.68,100,100,99.29,93.17,100,91.59,100,85.54,100,91.11,89.39,100,100,100,100,98.11,91.92,90.76,98.86,100,100,94.2,100,100,97.14,85.11,83.78,100,94.68,94.17,99.27,88.75,94.91,94.52,100,99.38,99.52,95.25,98.65,92.09,93.99,96.36,100,99.02,97.28,100,93.18,100,98.09,100,100,100,100,99.68,89.32,97.98,100,100,98.19,100,91.09,100,97.17,97.47,100,97.98,100,94.13,100,100,100,81.09,93.39,100,100,84.12,87.32,95.48,100,90.63,92.96,100,100,100,100,71.76,100,100,94.08,94.84,89.04,86.61,95.17,100,95.92,100,100,95.08,95.92,93.24,100,98.53,97.17,97.18,100,99.06,100,91,97.23,100,85.37,92.89,94.65,88.78,100,100,97.6,97.49,100,100,94.05,100,100,98.65,84.66,97.65,96.22,89.82,98.11,100,94.41,96.22,100,100,97.91,92.19,100,88.95,90.97,100,100,100,100,90.93,100,99.34,82.24,100,100,99.76,100,96.04,99.95,98.92,100,100,94.22,92.27,99.05,100,96.28,100,100,100,81.04805
GSK-3b Inhibitor XII (TWS119) 0.5uM,5.5,1.4,19.61,92.51,100,96.21,80.89,70.29,100,100,100,57.31,37,94.87,78.25,71.86,77.67,75.92,38.12,24.28,53.25,11.11,83.08,86.93,33.62,35.09,63.77,100,2.07,100,98.24,97.71,99,100,100,99.83,100,94.9,100,95.86,99.25,98.9,88.55,90.05,82.27,88.67,92.8,100,72.2,82.2,91.34,94.22,58.4,63.22,66.21,75.85,61.78,96.82,92.89,100,84.89,92.57,96.77,96.51,93.01,98.76,73.96,100,99.65,43.63,97.81,89.07,100,89.04,29.26,95.15,93.66,100,100,76.93,89.81,100,7.89,31.19,48.16,39.72,48.3,41.67,100,77.22,57.52,40,40.74,78.78,100,76.57,75.79,86.86,100,88.43,44.03,73.83,39.26,46.12,67.9,45.09,5.28,8.56,30.74,15.83,13.58,6.95,7.92,55.5,100,100,94.7,100,98.01,100,41.59,48.13,93.29,6.65,12.46,82.71,99.99,93.98,100,99.51,100,90.79,88.12,93.71,91.42,88.21,96.34,100,100,85.43,100,94.4,100,89.41,6.7,18.42,24.25,22.13,12.37,45.84,93.37,11.06,21.35,100,97.59,100,83.01,79.03,77.5,68.85,76.27,100,86.94,96.43,93.4,34.69,90.13,81.73,29.94,16.23,79.23,52.42,87.63,67.46,87.68,93.46,83.59,100,100,94.43,100,64.19,83.75,62.8,100,92.34,89.58,98.05,57.48,91.39,90.18,99.44,100,87.69,100,98.08,100,100,88.56,95.26,94.72,87.96,88.93,79.83,99.82,86.87,100,96.22,93.86,73.62,39.85,86.85,81.52,100,85.89,100,100,92.33,100,95.61,100,97.46,95.7,97.41,90.02,88.14,84.65,94.44,91.02,64.55,93.96,81.68,100,100,100,100,72.02,100,100,95.67,100,65.56,85.9,0,30.51,83.41,94.06,94.55,100,39.7,100,96.93,91.55,95.37,100,96.23,100,69.44,64.09,90.3,94.41,100,99.11,70.36,91.12,91.58,80.28,100,100,36.14,63.01,100,81.43,93.51,92.89,100,42.56,60.7,100,90.54,95.47,63.32,95.62,24.48,16.76,36.89,52.06,100,97.46,100,81.62,85.45,100,88.5,6.05,13.89,97.5,93.96,76.03041
GZD824 0.5uM,6.69,5.9,0,99.39,95.35,94.25,98.44,97.66,98.11,98.37,98.6,1.88,100,100,94.49,34.33,90.89,86.85,1.04,0,0,6.32,100,99.12,13.21,19.95,84.28,93.48,0.43,84.49,95.49,100,100,99.74,97.32,94.41,100,98.68,89.19,63.81,92.2,96.77,96.79,99.01,96.19,99.28,93.37,98.7,100,98.2,94.19,96.2,99.27,97.83,76.82,68.46,100,100,99.38,88.83,90.22,96.64,93.03,100,97.56,100,97.49,78.02,100,1.13,25.07,97.59,100,100,2.55,99.28,98.82,100,94.95,98.42,94.73,97.74,24.98,5.74,0,2.02,2.5,1.63,0.86,0,1.32,0,0.66,0.83,1.09,48,5.45,96.85,100,99.9,24.86,17.65,0.95,2.19,2.31,2.46,1.27,1.35,1.88,1.51,1.06,1.19,0.61,4.37,99.84,100,99.44,97.85,100,100,92.49,100,98.48,2.17,14.35,100,100,100,75.77,96.84,69.37,11.98,94.54,92.09,22.2,93.74,93.11,61.56,0.91,6.19,1.32,83.31,39.04,100,1.31,3.02,3.27,9.22,100,16.52,0.97,0.45,3.09,94.72,97.94,100,97.62,96.14,97.72,97.9,91.61,77,12.85,3.35,69.98,23.56,100,89.91,57.84,11.05,65.28,18.44,74.01,36.33,100,100,61.3,77.89,97.08,90.4,100,100,100,94.44,97.61,63.41,81.85,100,100,1.44,100,100,88.53,85.06,100,0.7,2.46,97.13,92.05,10.06,75.06,100,99.57,91.34,100,100,100,94.69,100,0,1.73,98.75,98.56,97.75,96.26,100,100,93.42,14.58,96.61,97.35,95.69,89.76,94.18,100,90.02,96.8,88.82,91.36,100,100,88.34,95.84,100,96.12,100,100,100,98.87,94.83,92.75,13.44,0,0.04,47.74,96.37,94.47,88.8,100,80.9,38.45,29.53,19.4,83.73,99.05,97.34,99.01,31.14,18,96.77,1.39,100,100,100,97.9,100,85.91,85.18,91.12,78.51,2.26,12.82,4.61,35.59,100,17.31,3.6,1.27,100,6.82,6.24,11.51,100,2.37,82.6,4.42,84.63,87.07,98.46,15.03,100,95.82,96.52,91.04,2.62,0.42,99.54,100,55.83
H-89 Dihydrochloride 0.5uM,100,84.41,88.3,41.57,75.43,68.97,100,100,96.37,100,96.99,95.85,32.81,93.17,100,97.78,89.03,100,82.36,100,99.85,94.25,92.02,92.41,97.44,100,79.8,97.21,90.15,100,100,85.49,99.14,100,93.28,97.05,98.7,95.24,99.06,95.59,95.33,93.29,100,99.3,77.26,93.85,100,100,92.57,77.91,96.58,82.8,85.53,87.78,90.78,82.78,57.86,93.67,100,97.22,86.82,93.33,97.77,86.56,100,100,87.61,100,99.42,95.61,96.14,81.47,72.1,90.09,93.78,96.62,100,98.54,95.28,95.17,83.49,96.44,98.96,83.75,100,100,86.8,96.86,100,100,100,100,81.69,92.48,100,100,94.18,84.77,100,64.1,97.56,100,87.64,95.07,91.32,85.34,100,90.82,89.64,100,97.65,100,100,51.07,91.34,100,95.84,100,93.53,100,94.29,83.49,55.06,99.42,43.85,91.39,99.17,81.65,97.69,100,100,89.46,92.34,94.32,95.73,100,100,86.84,87.28,100,100,92.68,93.43,92.55,79.11,30.9,100,90.62,100,89.17,86.16,100,100,100,97.79,90.18,91.18,89.29,96.22,94.29,90.51,100,91.52,85.4,75.06,91.08,81.26,90.8,96.49,99.64,85.54,95.6,93.39,78.72,97.52,99.47,39.35,38.8,97.96,92.65,65.63,71.97,94.75,80.74,100,94.44,92.74,97.09,94.35,96.9,100,96.86,99.31,94.91,95.9,100,87.16,100,100,25.61,71.91,90.16,78.57,100,98.93,91.41,85.46,94.54,100,98.81,100,94.1,91.6,88.84,90.07,100,98.34,10.51,100,85.65,88.32,90.18,38.1,86.36,53.16,83.77,88.39,98.73,79.23,100,79.78,75.94,26.25,41.07,56.9,14.34,78.9,98.68,100,98.22,0,85.01,96.42,100,77.76,91.6,37.83,15.44,97.45,99.6,68.36,70.88,79.19,71.81,93.15,84.24,78.8,94.98,93.03,78.14,97.82,100,88.32,94.37,93.52,100,79.53,100,100,77.7,100,100,90.74,95.4,100,100,92.12,99.81,100,84.94,95.06,79.62,100,86.83,94.73,100,93.88,100,98.86,100,80.12,84.6,99.35,93.15,91.57,100,97.88,97.44,100
Imatinib Mesylate 0.5uM,44.3,55.91,94.37,93.14,100,92.41,95.07,100,100,100,99.68,95.04,98.84,100,98.24,97.17,100,90.47,89.04,99.52,95.59,93.62,98.25,100,100,49.56,91.05,100,86.46,100,100,95.01,98.43,100,97.56,97.38,100,100,96.37,97.53,100,100,100,99.23,97.49,97.49,100,98.12,100,98.98,100,100,100,100,100,99.06,100,97.99,92.42,100,96.58,100,100,94.51,98.64,90.37,96.76,93.98,92.65,92.14,94.93,100,98.51,100,27.07,98.15,92.39,100,97.87,99.17,96.37,100,92.03,99.9,87.15,99.54,100,100,100,98.78,94.74,100,95.82,72.39,95.06,100,92.24,100,89.92,94.95,94.35,100,100,100,97.4,96.34,80.06,98.28,90.5,98.87,15.34,93.81,85.84,100,100,96.78,100,95.02,100,99.57,99.98,99.02,92.73,84.95,99.77,97,100,98.87,99.51,95.75,98.8,85.87,89.3,100,99.75,100,100,98.2,100,97.76,97.99,93.89,95.22,90.8,94.24,100,30.91,90.09,100,100,98.26,59.63,71.15,97.92,97.76,90.82,74.77,94.71,94.14,100,100,96.61,100,100,89.16,98.48,96.3,92.62,100,100,100,99.71,94.58,100,86.68,97.1,98.33,100,97.97,100,97.89,100,100,95.65,85.66,100,100,98.7,96.99,98.2,97.95,100,99.58,100,100,98.75,97.98,97.16,93.05,94.78,100,100,100,100,91.5,97.03,100,98.86,100,5.9,39.11,95.24,93.42,92.94,94.42,98.42,95.65,95.37,100,98.24,92.68,100,100,97.24,100,91.61,91.16,97.93,91.29,100,96.25,95.11,86,100,95.72,98.94,96.95,100,100,100,100,100,47.86,93.28,100,97.66,100,100,84.73,85.92,100,100,97.95,100,100,100,100,100,100,98.55,100,99.52,100,100,97.03,98.38,91.48,100,93.24,100,100,100,100,94.7,96.73,94.89,97.67,98.39,78.41,100,95.81,95.15,100,100,100,99.85,93.68,93.58,100,100,96.66,100,100,99.38,88.59,98.2,100,91.51,94.17017
JNK Inhibitor II (SP6) 0.5uM,89.455,99.64,66.845,100,97.975,98.5,86.09,93.355,100,100,99.6,100,25.765,38.14,32.4,16.34,41.34,78.985,95.495,88.485,100,97.07,53.335,57.935,93.49,83.67,77.905,95.625,93.625,98.425,97.755,93.15,93.13,79.04,84.505,76.925,91.685,93.34,87.46,68.475,76.165,65.455,72.815,71.225,87.875,96.855,95.305,77.8,78.58,90.615,88.825,94.46,98.01,98.17,66.445,37.33,40.105,14.295,31.925,83.095,82.53,88.07,63.28,81.75,69.505,82.29,66.37,54.75,100,92.635,100,90.745,98.72,94.315,100,98.57,29.76,54.06,48.5,11.005,72.295,100,99.65,84.205,94.08,93.78,100,99.38,94.24,91.545,96.255,87.975,97.885,90.725,92.03,97.125,99.125,98.685,97.03,64.455,62.425,58.105,75.915,80.77,81.565,93.225,87.24,87.875,14.305,65.665,78.04,97.54,96.445,35.89,99.72,100,95.795,99.4,86.33,86.9,90.395,89.085,38.635,93.665,58.77,82.64,96.095,81.545,92.005,89.73,96.515,82.165,86.215,91.58,73.605,78.53,82.52,81.67,85.605,68.65,59.485,55.555,44.26,100,83.585,45.925,95.455,79.155,55.84,82.36,36.03,94.08,98.15,95.19,90.35,90.59,63.825,56.59,68.115,53.405,92.7,89.94,97.605,100,19.82,62.59,77.035,51.275,23.325,34.59,78.02,55.185,94.365,62.67,100,97.405,80.79,92.045,96.265,68.55,69.395,88.255,86.74,59.475,94.205,60.335,100,97.99,78.43,91.26,93.075,100,91.53,92.965,94.885,93.11,95.195,99.51,95.535,94.11,100,97.41,95.375,95.33,99.21,94.54,97.24,93.035,83.11,96.925,92.575,90.095,64.07,79.74,66.525,90.015,53.6,95.795,100,86.925,100,99.665,95.08,96.83,90.545,92.565,93.64,26.735,34.315,89.975,95.69,31.83,88.545,94.065,91.515,93.815,96.085,97.29,95.505,95.87,88.045,81.97,94.12,37.865,75.605,91.405,94.89,91.105,99.825,78.785,80.1,80.25,78.99,85.28,62.27,76.62,96.955,65.145,84.155,81.555,99.56,97.135,93.065,70.545,69.65,88.295,43.71,100,90.69,73.87,63.335,86.47,100,82.475,81.27,100,91.745,96.095,94.12,86.53,40.53,25.46,97.8,77.03,77.825,63.69,90.165,61.735,95.38,94.405,94.585,91.12,95.24,87.22,91.36,81.555,89.725,90.62,67.1905
K252a 0.5uM,92.87,89.48,1.05,86.17,84.2,27.34,10.71,88.33,100,100,100,100,1.05,3.55,4.62,3.51,7.25,40.97,27.42,7.88,100,23.2,1.56,9.8,8.92,57.34,3.58,53.19,29.96,26.46,55.67,24.38,42.54,0.84,4.81,2.59,3.1,100,19.01,6.56,19.8,18.66,4.2,17.2,47.47,2.9,3.35,8.2,6.63,5.76,7.18,77.76,25.42,26.37,2.6,2.87,93.67,100,100,100,98.72,93.74,82.03,100,1.45,4.38,97.95,10.37,100,31.12,100,29,59.23,74.43,79.98,100,4.07,11.67,3.88,9.9,10.44,96.34,86.59,62.56,63.04,81.29,70.37,70.01,59.51,41.29,96.28,60.85,87.54,92.99,82.52,94.89,84.94,24.37,47.96,67.28,1.83,36.35,43.72,45.41,46.66,82.94,12.13,23.2,2.41,2.5,34.62,68.14,22.94,0.77,100,90.1,44.09,61.97,23.41,4.94,22.35,50.45,10.22,13.25,0.12,100,94.23,100,65.42,57.21,36.47,38.81,2.39,32.16,5.79,1.03,14.44,22.74,1.78,2.95,0.5,28.84,12.42,87.82,19.99,1.07,25.56,6.33,41.39,5.06,0.34,24.79,43.68,13.1,54.69,47.9,1.3,1.56,1.77,0.94,23.65,16.17,2.91,6.93,1.2,0.39,9.58,6.35,6.24,0.36,2.49,0.7,12.75,4.23,84.08,78.9,12.32,2.46,26.76,2.74,2.86,25.79,100,6.05,4.45,36.22,94.44,81.81,92.46,15.01,99.26,90.45,14.7,58.02,100,92.09,98.49,99.52,92.69,7.24,34.94,4.61,7.46,5.64,39.52,24.48,38.91,14.61,2.69,17.12,14.62,1.61,1.19,6.47,18.5,64.96,1.75,18.04,10.77,23.73,26.28,13.8,12.58,10.63,20.5,40.23,42.04,1.32,1.95,22.52,70.13,1.43,13.36,19.08,0,1.34,2.44,46.16,89.69,45.74,7.17,17.03,100,2.36,11.42,1.36,31.24,18.48,82.28,1.55,0,2.61,1.72,1.66,8.03,9.65,53.07,4,7.89,14.52,100,99.16,97.3,32,0.79,73.57,12.46,14.27,81.74,5.99,2.45,26,40.47,16.01,5.25,84.16,47.61,92.33,3.11,2.32,2.11,1.19,16.64,24.35,9.78,0.9,20.37,26.64,6.75,3.25,80.52,72.9,90.59,60.33,17.7,75.87,22.8,27.17,43.23425
Lapatinib 0.5uM,96.38,97.29,97.52,95.6,100,83.52,100,100,100,98.68,100,84.96,100,100,81.49,98.44,90.92,96.24,95.9,100,92.41,100,98.57,100,100,98.45,95.36,84.12,100,100,98.08,100,100,98.58,93.76,92.46,100,100,98.79,100,100,100,94.51,98.76,94.64,94.82,100,90.45,100,100,100,100,100,85.17,100,96.83,100,91.19,99.39,100,99.53,100,100,100,100,95.11,100,100,99.73,100,75.94,100,100,100,100,94.68,89.71,100,93.07,100,90.17,100,8.02,99.3,99.03,98.18,100,100,100,95.62,99.49,100,100,100,94.09,9.57,11.19,94.8,100,100,94.63,100,100,96.42,96.72,96.63,84.83,100,92.55,93.25,100,100,99.38,100,94.85,96.7,90.28,97.19,100,95.82,100,100,66.53,86.48,100,97.06,100,99.06,100,87.43,99.5,81.01,94.87,100,98.82,91.45,100,98.35,98.04,100,96.24,91.95,98.14,100,96.6,100,94.17,95.18,100,94.79,76.86,100,100,94.71,100,92.78,100,100,95.85,100,100,100,100,100,88.53,100,95.37,90.72,100,100,100,100,94.53,97.27,88.21,95.74,98.31,93.44,100,99.36,93.75,100,100,96.55,96.08,71.77,100,100,99.56,98.09,93.72,98.65,100,100,100,100,100,91.11,95.02,95.72,100,100,100,100,89.93,98.52,100,100,100,100,92.02,86.38,95.71,99.47,99,100,93.7,95.98,100,83.03,93.53,99.84,100,98.01,100,79.34,100,99.43,88.55,72.45,79.68,86.41,95.37,99.73,100,100,92.02,98.98,100,100,100,100,85.88,99.77,100,100,100,92.72,92.2,100,100,100,83.98,100,100,100,100,100,85.06,95.11,97.95,100,87.97,97.06,79.03,100,94.74,100,100,100,89.01,98.81,100,100,100,100,96.1,93.25,83.9,99.17,98.77,100,89.86,100,99.99,95.53,98.94,95.44,100,100,100,97.55,100,100,84.66,96.71,92.5,97.41,85.36042
